B1LG TAA 
ELBF GCJ 
ELBG gcj 
ELBE GCR 
ELBD gcr 
ENXE FEB 
ENXD feb 
ENXF FOB 
ENXG fob 
EOXE FFB 
EOXD ffb 
EOXF FPB 
EOXG fpb 
EPBI GDB 
EPBH gdb 
EPBF GDJ 
EPBG gdj 
EPBE GDR 
EPBD gdr 
ERXE FGB 
ERXD fgb 
ERXF FQB 
ERXG fqb 
ESXE FHB 
ESXD fhb 
ESXF FRB 
ESXG frb 
ETBI GEB 
ETBH geb 
ETBF GEJ 
ETBG gej 
ETBE GER 
ETBD ger 
EWXE FIB 
EWXD fib 
EWXF FSB 
EWXG fsb 
EXBI GFB 
EXBH gfb 
EXBF GFJ 
EXBG gfj 
EXBE GFR 
EXBD gfr 
F1LG TEJ 
F1LF tej 
F1LH TFJ 
F1LI tfj 
F1LN TGJ 
F1LM tgj 
F1LA THJ 
F1LB thj 
F2XE OGB 
F2XD ogb 
F3XE OCB 
F3XD ocb 
F4JG JBB 
F4JF jbb 
F4JH JCB 
F4JI jcb 
F5XE EAB 
F5XD eab 
F6XE OHB 
F6XD ohb 
F7PB DHC 
F7PC dhc 
F7PD DHD 
F7PE dhd 
FALG TEB 
FALF teb 
FALH TFB 
FALI tfb 
FALN TGB 
FALM tgb 
FALA THB 
FALB thb 
FBXE OAB 
FBXD oab 
FCPB DAC 
FCPC dac 
FCPD DAD 
FCPE dad 
FDLG ORE 
FDLF ore 
FDLH ORF 
FDLI orf 
FFXE OBB 
FFXD obb 
FGPB DBC 
FGPC dbc 
FGPD DBD 
FGPE dbd 
FHII waf 
FHIH WAF 
FIJG tra 
FIJF TRA 
FIJH trb 
FIJI TRB 
FIJN trc 
FIJM TRC 
FIJA trd 
FIJB TRD 
FJPB DGC 
FJPC dgc 
FJPD DGD 
FJPE dgd 
FKPB DCC 
FKPC dcc 
FKPD DCD 
FKPE dcd 
FLLG ORG 
FLLF org 
FLLH ORH 
FLLI orh 
FMLG TER 
FMLF ter 
FMLH TFR 
FMLI tfr 
FMLN TGR 
FMLM tgr 
FMLA THR 
FMLB thr 
FNXE ODB 
FNXD odb 
FOPB DDC 
FOPC ddc 
FOPD DDD 
FOPE ddd 
FPME AAB 
FPMD aab 
FPMF OKB 
FPMG okb 
FQLG TIB 
FQLF tib 
FQLH TJB 
FQLI tjb 
FQLN TKB 
FQLM tkb 
FQLA TLB 
FQLB tlb 
FRXE OEB 
FRXD oeb 
FSPB DEC 
FSPC dec 
FSPD DED 
FSPE ded 
FTJG wab 
FTJF WAB 
FTJH wac 
FTJI WAC 
FTJN wae 
FTJM WAE 
FUJG tre 
FUJF TRE 
FUJH trf 
FUJI TRF 
FUJN trg 
FUJM TRG 
FUJA trh 
FUJB TRH 
FVXE OFB 
FVXD ofb 
FWPB DFC 
FWPC dfc 
FWPD DFD 
FWPE dfd 
FXLG CAB 
FXLF cab 
FXLH CBB 
FXLI cbb 
FXLN CCB 
FXLM ccb 
FXLA CDB 
FXLB cdb 
H1LG TAC 
H1LF tac 
H1LH TBC 
H1LI tbc 
H1LN TCC 
H1LM tcc 
H1LA TDC 
H1LB tdc 
H4BI GGK 
H4BH ggk 
H5ME eba 
H5MD EBA 
H5MF ebe 
H5MG EBE 
H5MI ebi 
H5MH EBI 
H7XE FJC 
H7XD fjc 
H7XF FTC 
H7XG ftc 
H8BI GHC 
H8BH ghc 
H8BF GHK 
H8BG ghk 
HCXE FBC 
HCXD fbc 
HCXF FLC 
HCXG flc 
HDBI GAC 
HDBH gac 
HEXE FAC 
HEXD fac 
HGXE FCC 
HGXD fcc 
HGXF FMC 
HGXG fmc 
HHBI GBC 
HHBH gbc 
HHBF GBK 
HHBG gbk 
HIBI GCP 
HIBH gcp 
HJBI GIC 
HJBH gic 
HKXE FDC 
HKXD fdc 
HKXF FNC 
HKXG fnc 
HLBI GCC 
HLBH gcc 
HLBF GCK 
HLBG gck 
HNXE FEC 
HNXD fec 
HNXF FOC 
HNXG foc 
HOXE FFC 
HOXD ffc 
HOXF FPC 
HOXG fpc 
HPBI GDC 
HPBH gdc 
HPBF GDK 
HPBG gdk 
HQBI GGC 
HQBH ggc 
HRXE FGC 
HRXD fgc 
HRXF FQC 
HRXG fqc 
HSXE FHC 
HSXD fhc 
HSXF FRC 
HSXG frc 
HTBI GEC 
HTBH gec 
HTBF GEK 
HTBG gek 
HTBE GES 
HTBD ges 
HWXE FIC 
HWXD fic 
HWXF FSC 
HWXG fsc 
HXBI GFC 
HXBH gfc 
HXBF GFK 
HXBG gfk 
I1LG TEK 
I1LF tek 
I1LH TFK 
I1LI tfk 
I1LN TGK 
I1LM tgk 
I1LA THK 
I1LB thk 
I2XE OGC 
I2XD ogc 
I3XE OCC 
I3XD occ 
I4JG JBC 
I4JF jbc 
I5XE EAC 
I5XD eac 
I6XE OHC 
I6XD ohc 
I7PB DHE 
I7PC dhe 
I7PD DHF 
I7PE dhf 
IALG TEC 
IALF tec 
IALH TFC 
IALI tfc 
IALN TGC 
IALM tgc 
IALA THC 
IALB thc 
IBXE OAC 
IBXD oac 
ICPB DIA 
ICPC dia 
ICPD DIB 
ICPE dib 
IDLG ORI 
IDLF ori 
IDLH ORJ 
IDLI orj 
IEJG JCC 
IEJF jcc 
IFXE OBC 
IFXD obc 
IGPB DJA 
IGPC dja 
IGPD DJB 
IGPE djb 
IIJG tsa 
IIJF TSA 
IIJH tsb 
IIJI TSB 
IIJN tsc 
IIJM TSC 
IIJA tsd 
IIJB TSD 
IKPB DKA 
IKPC dka 
IKPD DKB 
IKPE dkb 
ILLG ORK 
ILLF ork 
ILLH ORL 
ILLI orl 
IMLG TES 
IMLF tes 
IMLH TFS 
IMLI tfs 
IMLN TGS 
IMLM tgs 
IMLA THS 
IMLB ths 
INXE ODC 
INXD odc 
IOPB DDE 
IOPC dde 
IOPD DDF 
IOPE ddf 
IPME AAC 
IPMD aac 
IPMF OKC 
IPMG okc 
IQLG TIC 
IQLF tic 
IQLH TJC 
IQLI tjc 
IQLN TKC 
IQLM tkc 
IQLA TLC 
IQLB tlc 
IRXE OEC 
IRXD oec 
ISPB DMA 
ISPC dma 
ISPD DMB 
ISPE dmb 
ITXE XAA 
ITXD xaa 
IUJG tse 
IUJF TSE 
IUJH tsf 
IUJI TSF 
IUJN tsg 
IUJM TSG 
IUJA tsh 
IUJB TSH 
IVXE OFC 
IVXD ofc 
IWPB DNA 
IWPC dna 
IWPD DNB 
IWPE dnb 
IXLG CAC 
IXLF cac 
IXLH CBC 
IXLI cbc 
IXLN CCC 
IXLM ccc 
IXLA CDC 
IXLB cdc 
K1LG TAD 
K1LF tad 
K1LH TBD 
K1LI tbd 
K1LN TCD 
K1LM tcd 
K1LA TDD 
K1LB tdd 
K4BI GGD 
K4BH ggd 
K4BF GGL 
K4BG ggl 
K5ME ebb 
K5MD EBB 
K5MF ebf 
K5MG EBF 
K5MI ebj 
K5MH EBJ 
K7XE FTD 
K7XD ftd 
K8BI GHD 
K8BH ghd 
K8BF GHL 
K8BG ghl 
KCXE FBD 
KCXD fbd 
KCXF FLD 
KCXG fld 
KDBI GAD 
KDBH gad 
KDBF GAL 
KDBG gal 
KEXE FAD 
KEXD fad 
KGXE FCD 
KGXD fcd 
KHBI GBD 
KHBH gbd 
KKXE FDD 
KKXD fdd 
KKXF FND 
KKXG fnd 
KLBI GCD 
KLBH gcd 
KLBF GCL 
KLBG gcl 
KNXE FED 
KNXD fed 
KNXF FOD 
KNXG fod 
KOXE FFD 
KOXD ffd 
KOXF FPD 
KOXG fpd 
KPBI GDD 
KPBH gdd 
KPBF GDL 
KPBG gdl 
KRXE FGD 
KRXD fgd 
KRXF FQD 
KRXG fqd 
KSXE FHD 
KSXD fhd 
KSXF FRD 
KSXG frd 
KTBI GED 
KTBH ged 
KTBF GEL 
KTBG gel 
KTBE GET 
KTBD get 
KWXE FID 
KWXD fid 
KWXF FSD 
KWXG fsd 
KXBI GFD 
KXBH gfd 
KXBF GFL 
KXBG gfl 
L1LG TEL 
L1LF tel 
L1LH TFL 
L1LI tfl 
L1LN TGL 
L1LM tgl 
L1LA THL 
L1LB thl 
L2XE OGD 
L2XD ogd 
L3XE OCD 
L3XD ocd 
L4JG JCD 
L4JF jcd 
L5XE EAD 
L5XD ead 
L6XE OHD 
L6XD ohd 
LALG TED 
LALF ted 
LALH TFD 
LALI tfd 
LALN TGD 
LALM tgd 
LALA THD 
LALB thd 
LBXE OAD 
LBXD oad 
LCPB DIC 
LCPC dic 
LCPD DID 
LCPE did 
LDLG ORM 
LDLF orm 
LDLH ORN 
LDLI orn 
LELG TID 
LELF tid 
LELH TJD 
LELI tjd 
LELN TKD 
LELM tkd 
LELA TLD 
LELB tld 
LFXE OBD 
LFXD obd 
LGPB DJC 
LGPC djc 
LGPD DJD 
LGPE djd 
LHPB DIE 
LHPC die 
LHPD DIF 
LHPE dif 
LIJG tta 
LIJF TTA 
LIJH ttb 
LIJI TTB 
LIJN ttc 
LIJM TTC 
LIJA ttd 
LIJB TTD 
LJPB DIG 
LJPC dig 
LJPD DIH 
LJPE dih 
LKPB DCE 
LKPC dce 
LKPD DCF 
LKPE dcf 
LLLG ORO 
LLLF oro 
LLLH ORP 
LLLI orp 
LMLG TET 
LMLF tet 
LMLH TFT 
LMLI tft 
LMLN TGT 
LMLM tgt 
LMLA THT 
LMLB tht 
LNXE ODD 
LNXD odd 
LOPB DLA 
LOPC dla 
LOPD DLB 
LOPE dlb 
LPME AAD 
LPMD aad 
LPMF OKD 
LPMG okd 
LQJG JBD 
LQJF jbd 
LRXE OED 
LRXD oed 
LSPB DMC 
LSPC dmc 
LSPD DMD 
LSPE dmd 
LTPB DFE 
LTPC dfe 
LTPD DFF 
LTPE dff 
LUJG tte 
LUJF TTE 
LUJH ttf 
LUJI TTF 
LUJN ttg 
LUJM TTG 
LUJA tth 
LUJB TTH 
LVXE OFD 
LVXD ofd 
LXLG CAD 
LXLF cad 
LXLH CBD 
LXLI cbd 
LXLN CCD 
LXLM ccd 
LXLA CDD 
LXLB cdd 
MCXE FBH 
MCXD fbh 
MWXE FSE 
MWXD fse 
N1LG TAE 
N1LF tae 
N1LH TBE 
N1LI tbe 
N1LN TCE 
N1LM tce 
N1LA TDE 
N1LB tde 
N4BI GGE 
N4BH gge 
N4BF GGM 
N4BG ggm 
N5ME ebc 
N5MD EBC 
N5MF ebg 
N5MG EBG 
N5MI ebk 
N5MH EBK 
N7XE FTE 
N7XD fte 
N8BI GHE 
N8BH ghe 
N8BF GHM 
N8BG ghm 
NCXE FBE 
NCXD fbe 
NCXF FLE 
NCXG fle 
NDBI GAE 
NDBH gae 
NDBF GAM 
NDBG gam 
NEXE FAE 
NEXD fae 
NGXE FCE 
NGXD fce 
NGXF FME 
NGXG fme 
NHBI GBE 
NHBH gbe 
NHBF GBM 
NHBG gbm 
NKXE FDE 
NKXD fde 
NKXF FNE 
NKXG fne 
NLBI GCE 
NLBH gce 
NLBF GCM 
NLBG gcm 
NMXE FIE 
NMXD fie 
NNXE FEE 
NNXD fee 
NNXF FOE 
NNXG foe 
NOXE FFE 
NOXD ffe 
NOXF FPE 
NOXG fpe 
NPBI GDE 
NPBH gde 
NPBF GDM 
NPBG gdm 
NRXE FGE 
NRXD fge 
NRXF FQE 
NRXG fqe 
NSXE FHE 
NSXD fhe 
NSXF FRE 
NSXG fre 
NTBI GEE 
NTBH gee 
NTBF GEM 
NTBG gem 
NTBE GEU 
NTBD geu 
NXBI GFE 
NXBH gfe 
NXBF GFM 
NXBG gfm 
O1LG TEM 
O1LF tem 
O1LH TFM 
O1LI tfm 
O1LN TGM 
O1LM tgm 
O1LA THM 
O1LB thm 
O2XE OGE 
O2XD oge 
O3XE OCE 
O3XD oce 
O4JG JBE 
O4JF jbe 
O4JH JCE 
O4JI jce 
O5XE EAE 
O5XD eae 
O6XE OHE 
O6XD ohe 
O7PB DHG 
O7PC dhg 
O7PD DHH 
O7PE dhh 
OALG TEE 
OALF tee 
OALH TFE 
OALI tfe 
OALN TGE 
OALM tge 
OALA THE 
OALB the 
OBXE OAE 
OBXD oae 
OCPB DAE 
OCPC dae 
OCPD DAF 
OCPE daf 
OFXE OBE 
OFXD obe 
OGPB DBE 
OGPC dbe 
OGPD DBF 
OGPE dbf 
OIJG TMA 
OIJF tma 
OIJH TMB 
OIJI tmb 
OIJN TMC 
OIJM tmc 
OIJA TMD 
OIJB tmd 
OJPB DGE 
OJPC dge 
OJPD DGF 
OJPE dgf 
OKPB DKC 
OKPC dkc 
OKPD DKD 
OKPE dkd 
OMLG TEU 
OMLF teu 
OMLH TFU 
OMLI tfu 
OMLN TGU 
OMLM tgu 
OMLA THU 
OMLB thu 
ONXE ODE 
ONXD ode 
OOPB DLC 
OOPC dlc 
OOPD DLD 
OOPE dld 
OPME AAE 
OPMD aae 
OPMF OKE 
OPMG oke 
OQLG TIE 
OQLF tie 
OQLH TJE 
OQLI tje 
OQLN TKE 
OQLM tke 
OQLA TLE 
OQLB tle 
ORXE OEE 
ORXD oee 
OSPB DEE 
OSPC dee 
OSPD DEF 
OSPE def 
OTXE QFA 
OTXD qfa 
OTXF QFB 
OTXG qfb 
OUJG TME 
OUJF tme 
OUJH TMF 
OUJI tmf 
OUJN TMG 
OUJM tmg 
OUJA TMH 
OUJB tmh 
OVXE OFE 
OVXD ofe 
OWPB DNC 
OWPC dnc 
OWPD DND 
OWPE dnd 
OXLG CAE 
OXLF cae 
OXLH CBE 
OXLI cbe 
OXLN CCE 
OXLM cce 
OXLA CDE 
OXLB cde 
Q1LG TAF 
Q1LF taf 
Q1LH TBF 
Q1LI tbf 
Q1LN TCF 
Q1LM tcf 
Q1LA TDF 
Q1LB tdf 
Q4BI GGF 
Q4BH ggf 
Q4BF GGN 
Q4BG ggn 
Q5ME ebd 
Q5MD EBD 
Q5MF ebh 
Q5MG EBH 
Q5MI ebl 
Q5MH EBL 
Q7XE FTF 
Q7XD ftf 
Q8BI GHF 
Q8BH ghf 
Q8BF GHN 
Q8BG ghn 
QCXE FBF 
QCXD fbf 
QCXF FLF 
QCXG flf 
QDBI GAF 
QDBH gaf 
QDBF GAN 
QDBG gan 
QEXE FAF 
QEXD faf 
QGXE FCF 
QGXD fcf 
QGXF FMF 
QGXG fmf 
QHBI GBF 
QHBH gbf 
QHBF GBN 
QHBG gbn 
QKXE FDF 
QKXD fdf 
QKXF FNF 
QKXG fnf 
QLBI GCF 
QLBH gcf 
QLBF GCN 
QLBG gcn 
QMXE FIF 
QMXD fif 
QNXE FEF 
QNXD fef 
QNXF FOF 
QNXG fof 
QOXE FFF 
QOXD fff 
QOXF FPF 
QOXG fpf 
QPBI GDF 
QPBH gdf 
QPBF GDN 
QPBG gdn 
QRXE FGF 
QRXD fgf 
QRXF FQF 
QRXG fqf 
QSXE FHF 
QSXD fhf 
QSXF FRF 
QSXG frf 
QTBI GEF 
QTBH gef 
QTBF GEN 
QTBG gen 
QTBE GEV 
QTBD gev 
QWXE FSF 
QWXD fsf 
QXBI GFF 
QXBH gff 
QXBF GFN 
QXBG gfn 
R1LG TEN 
R1LF ten 
R1LH TFN 
R1LI tfn 
R1LN TGN 
R1LM tgn 
R1LA THN 
R1LB thn 
R2XE OGF 
R2XD ogf 
R3XE OCF 
R3XD ocf 
R4PB DOA 
R4PC doa 
R4PD DOB 
R4PE dob 
R5XE EAF 
R5XD eaf 
R6XE OHF 
R6XD ohf 
R7PB DPE 
R7PC dpe 
R7PD DPF 
R7PE dpf 
RALG TEF 
RALF tef 
RALH TFF 
RALI tff 
RALN TGF 
RALM tgf 
RALA THF 
RALB thf 
RBXE OAF 
RBXD oaf 
RCPB DPG 
RCPC dpg 
RDLG TIF 
RDLF tif 
RDLH TJF 
RDLI tjf 
RDLN TKF 
RDLM tkf 
RDLA TLF 
RDLB tlf 
REJG TNC 
REJF tnc 
RFXE OBF 
RFXD obf 
RGPB DBG 
RGPC dbg 
RGPD DBH 
RGPE dbh 
RIJG TNA 
RIJF tna 
RIJH TNB 
RIJI tnb 
RIJN TND 
RIJM tnd 
RJPB DGG 
RJPC dgg 
RJPD DGH 
RJPE dgh 
RKPB DCG 
RKPC dcg 
RKPD DCH 
RKPE dch 
RMLG TEV 
RMLF tev 
RMLH TFV 
RMLI tfv 
RMLN TGV 
RMLM tgv 
RMLA THV 
RMLB thv 
RNXE ODF 
RNXD odf 
ROPB DLE 
ROPC dle 
ROPD DLF 
ROPE dlf 
RPME AAF 
RPMD aaf 
RPMF OKF 
RPMG okf 
RQJG JBF 
RQJF jbf 
RQJH JCF 
RQJI jcf 
RRXE OEF 
RRXD oef 
RSPB DME 
RSPC dme 
RSPD DMF 
RSPE dmf 
RTXE QFC 
RTXD qfc 
RTXF QFD 
RTXG qfd 
RUJG TNE 
RUJF tne 
RUJH TNF 
RUJI tnf 
RUJN TNG 
RUJM tng 
RUJA TNH 
RUJB tnh 
RVXE OFF 
RVXD off 
RWPB DNE 
RWPC dne 
RWPD DNF 
RWPE dnf 
RXLG CAF 
RXLF caf 
RXLH CBF 
RXLI cbf 
RXLN CCF 
RXLM ccf 
RXLA CDF 
RXLB cdf 
T1LG TAG 
T1LF tag 
T1LH TBG 
T1LI tbg 
T1LN TCG 
T1LM tcg 
T1LA TDG 
T1LB tdg 
T3PB DPA 
T3PC dpa 
T3PD DPB 
T3PE dpb 
T4BI GGG 
T4BH ggg 
T4BF GGO 
T4BG ggo 
T5II JEA 
T5IH jea 
T5IE JEB 
T5ID jeb 
T5IG JGA 
T5IF jga 
T6PB DPC 
T6PC dpc 
T6PD DPD 
T6PE dpd 
T7XE FTG 
T7XD ftg 
T8BI GHG 
T8BH ghg 
T8BF GHO 
T8BG gho 
TCXE FBG 
TCXD fbg 
TCXF FLG 
TCXG flg 
TDBI GAG 
TDBH gag 
TDBF GAO 
TDBG gao 
TEXE FAG 
TEXD fag 
TGXE FCG 
TGXD fcg 
TGXF FMG 
TGXG fmg 
THBI GBG 
THBH gbg 
THBF GBO 
THBG gbo 
TIXE FSG 
TIXD fsg 
TJLG qed 
TJLF QED 
TKXE FDG 
TKXD fdg 
TKXF FNG 
TKXG fng 
TLBI GCG 
TLBH gcg 
TLBF GCO 
TLBG gco 
TNXE FEG 
TNXD feg 
TNXF FOG 
TNXG fog 
TOXE FFG 
TOXD ffg 
TOXF FPG 
TOXG fpg 
TPBI GDG 
TPBH gdg 
TPBF GDO 
TPBG gdo 
TRXE FGG 
TRXD fgg 
TRXF FQG 
TRXG fqg 
TSXE FHG 
TSXD fhg 
TSXF FRG 
TSXG frg 
TTBI GEG 
TTBH geg 
TTBF GEO 
TTBG geo 
TTBE GEW 
TTBD gew 
TWXE FIG 
TWXD fig 
TXBI GFG 
TXBH gfg 
TXBF GFO 
TXBG gfo 
U1LG TEO 
U1LF teo 
U1LH TFO 
U1LI tfo 
U1LN TGO 
U1LM tgo 
U1LA THO 
U1LB tho 
U2XE OGG 
U2XD ogg 
U3XE OCG 
U3XD ocg 
U4JG JAA 
U4JF jaa 
U4JH JAB 
U4JI jab 
U4JN JAC 
U4JM jac 
U4JA JAD 
U4JB jad 
U6XE OHG 
U6XD ohg 
U7PB DOC 
U7PC doc 
U7PD DOD 
U7PE dod 
UALG TEG 
UALF teg 
UALH TFG 
UALI tfg 
UALN TGG 
UALM tgg 
UALA THG 
UALB thg 
UBXE OAG 
UBXD oag 
UCPB DAG 
UCPC dag 
UCPD DAH 
UCPE dah 
UFXE OBG 
UFXD obg 
UGPB DJE 
UGPC dje 
UGPD DJF 
UGPE djf 
UHLG qec 
UHLF QEC 
UIJG TOA 
UIJF toa 
UIJH TOB 
UIJI tob 
UIJN TOC 
UIJM toc 
UIJA TOD 
UIJB tod 
UJPB DOG 
UJPC dog 
UJPD DOH 
UJPE doh 
UKPB DKE 
UKPC dke 
UKPD DKF 
UKPE dkf 
ULPB qea 
ULPC QEA 
ULPD qeb 
ULPE QEB 
UMLG TEW 
UMLF tew 
UMLH TFW 
UMLI tfw 
UMLN TGW 
UMLM tgw 
UMLA THW 
UMLB thw 
UNXE ODG 
UNXD odg 
UOPB DDG 
UOPC ddg 
UOPD DDH 
UOPE ddh 
UPME AAG 
UPMD aag 
UPMF OKG 
UPMG okg 
UQLG TIG 
UQLF tig 
UQLH TJG 
UQLI tjg 
UQLN TKG 
UQLM tkg 
UQLA TLG 
UQLB tlg 
URXE OEG 
URXD oeg 
USPB DEG 
USPC deg 
USPD DEH 
USPE deh 
UTXE QFE 
UTXD qfe 
UTXF QFF 
UTXG qff 
UUJG TOE 
UUJF toe 
UUJH TOF 
UUJI tof 
UUJN TOG 
UUJM tog 
UUJA TOH 
UUJB toh 
UVXE OFG 
UVXD ofg 
UWPB DFG 
UWPC dfg 
UWPD DFH 
UWPE dfh 
UXHG jda 
UXHF JDA 
VKXE FNH 
VKXD fnh 
W1LG TAH 
W1LF tah 
W1LH TBH 
W1LI tbh 
W1LN TCH 
W1LM tch 
W1LA TDH 
W1LB tdh 
W4BI GGH 
W4BH ggh 
W5II JEC 
W5IH jec 
W5IE JED 
W5ID jed 
W8BI GHH 
W8BH ghh 
W8BF GHP 
W8BG ghp 
WCXE FLH 
WCXD flh 
WDBI GAH 
WDBH gah 
WDBF GAP 
WDBG gap 
WEXE FAH 
WEXD fah 
WGXE FCH 
WGXD fch 
WGXF FMH 
WGXG fmh 
WHBI GBH 
WHBH gbh 
WHBF GBP 
WHBG gbp 
WKXE FDH 
WKXD fdh 
WLBI GCH 
WLBH gch 
WMXE FIH 
WMXD fih 
WNXE FEH 
WNXD feh 
WNXF FOH 
WNXG foh 
WOXE FFH 
WOXD ffh 
WOXF FPH 
WOXG fph 
WPBI GDH 
WPBH gdh 
WPBF GDP 
WPBG gdp 
WQBI GGP 
WQBH ggp 
WRXE FGH 
WRXD fgh 
WRXF FQH 
WRXG fqh 
WSXE FHH 
WSXD fhh 
WSXF FRH 
WSXG frh 
WTBI GEH 
WTBH geh 
WTBF GEP 
WTBG gep 
WTBE GEX 
WTBD gex 
WWXE FSH 
WWXD fsh 
WXBI GFH 
WXBH gfh 
WXBF GFP 
WXBG gfp 
X1LG TEP 
X1LF tep 
X1LH TFP 
X1LI tfp 
X1LN TGP 
X1LM tgp 
X1LA THP 
X1LB thp 
X2XE OGH 
X2XD ogh 
X3XE OCH 
X3XD och 
X4JG JAE 
X4JF jae 
X4JH JAF 
X4JI jaf 
X5BI GBL 
X5BH gbl 
X6XE OHH 
X6XD ohh 
X7PB DOE 
X7PC doe 
X7PD DOF 
X7PE dof 
X8LG QCA 
X8LF qca 
X8LH QCB 
X8LI qcb 
X8LN QCC 
X8LM qcc 
X8LA QCD 
X8LB qcd 
XALG TEH 
XALF teh 
XALH TFH 
XALI tfh 
XALN TGH 
XALM tgh 
XALA THH 
XALB thh 
XBXE OAH 
XBXD oah 
XDPB OKH 
XDPC okh 
XDPD QGA 
XDPE qga 
XEPB DJG 
XEPC djg 
XEPD DJH 
XEPE djh 
XFXE OBH 
XFXD obh 
XGXE FMD 
