A1XE JMA 
CCLI dab 
CCLN DAC 
CCLM dac 
CDOM AAA 
CDON aaa 
CDOI AAB 
CDOH aab 
CDOF AAC 
CDOE aac 
CFLG BCA 
CFLF bca 
CFLH BCB 
CFLI bcb 
CFLN BCC 
CFLM bcc 
CGOM DBA 
CGON dba 
CGOI DBB 
CGOH dbb 
CGOF DBC 
CGOE dbc 
CHOM ACA 
CHON aca 
CHOI ACB 
CHOH acb 
CHOF ACC 
CHOE acc 
CIHG JRA 
CIHF jra 
CJHG JRB 
CJHF jrb 
CKLG BEA 
CKLF bea 
CKLH BEB 
CKLI beb 
CKLN BEC 
CKLM bec 
CLLG DCA 
CLLF dca 
CLLH DCB 
CLLI dcb 
CLLN DCC 
CLLM dcc 
CMOM AEA 
CMON aea 
CMOI AEB 
CMOH aeb 
CMOF AEC 
CMOE aec 
CNHG JRC 
CNHF jrc 
COLG BGA 
COLF bga 
COLH BGB 
COLI bgb 
COLN BGC 
COLM bgc 
CPLG DDA 
CPLF dda 
CPLH DDB 
CPLI ddb 
CPLN DDC 
CPLM ddc 
CQOM AGA 
CQON aga 
CQOI AGB 
CQOH agb 
CQOF AGC 
CQOE agc 
CRXE OAA 
CRXD oaa 
CSXE OAI 
CSXD oai 
CTXE OBA 
CTXD oba 
CUXE OBI 
CUXD obi 
CVXE OCA 
CVXD oca 
CWXE OCI 
CWXD oci 
CXXE ODA 
CXXD oda 
DDOM NAD 
DDON nad 
DDOI NAE 
DDOH nae 
DDOF NAF 
DDOE naf 
DEME UAA 
DEMD uaa 
DFME UAB 
DFMD uab 
DGME UAC 
DGMD uac 
DHOM NBD 
DHON nbd 
DHOI NBE 
DHOH nbe 
DHOF NBF 
DHOE nbf 
DLOM NCD 
DLON ncd 
DLOI NCE 
DLOH nce 
DLOF NCF 
DLOE ncf 
DPOM NDD 
DPON ndd 
DPOI NDE 
DPOH nde 
DPOF NDF 
DPOE ndf 
DQLG TDA 
DQLF tda 
DQLH TDB 
DQLI tdb 
DQLN TDC 
DQLM tdc 
DQLA TDD 
DQLB tdd 
DRLG tde 
DRLF TDE 
DRLH tdf 
DRLI TDF 
DRLN tdg 
DRLM TDG 
DRLA tdh 
DRLB TDH 
DTLG RKA 
DTLF rka 
DTLH RKB 
DTLI rkb 
DTLN RKC 
DTLM rkc 
DTLA RKD 
DTLB rkd 
DULG RKE 
DULF rke 
DULH RKF 
DULI rkf 
DULN RKG 
DULM rkg 
DULA RKH 
DULB rkh 
DVLG RLA 
DVLF rla 
DVLH RLB 
DVLI rlb 
DVLN RLC 
DVLM rlc 
DVLA RLD 
DVLB rld 
DWLG RLE 
DWLF rle 
DWLH RLF 
DWLI rlf 
DWLN RLG 
DWLM rlg 
DWLA RLH 
DWLB rlh 
EAAD CAB 
EAAE cab 
EBAD CBB 
EBAE cbb 
ECAD CCB 
ECAE ccb 
EDAD CDB 
EDAE cdb 
EEAD CEB 
EEAE ceb 
EFAD CFB 
EFAE cfb 
EGAD CGB 
EGAE cgb 
EHAD CHB 
EHAE chb 
EIXE MAB 
EIXD mab 
EJXE MBB 
EJXD mbb 
EKXE MCB 
EKXD mcb 
ELXE MDB 
ELXD mdb 
EMXE MEB 
EMXD meb 
ENXE MFB 
ENXD mfb 
EOXE MGB 
EOXD mgb 
EPXE MHB 
EPXD mhb 
EQXE qqh 
EQXD QQH 
ERXE qrh 
ERXD QRH 
ESOM EAD 
ESON ead 
ESOI EAE 
ESOH eae 
ESOF EAF 
ESOE eaf 
ETOM EBD 
ETON ebd 
ETOI EBE 
ETOH ebe 
ETOF EBF 
ETOE ebf 
EUOM ECD 
EUON ecd 
EUOI ECE 
EUOH ece 
EUOF ECF 
EUOE ecf 
EVOM EDD 
EVON edd 
EVOI EDE 
EVOH ede 
EVOF EDF 
EVOE edf 
F1OM SAD 
F1ON sad 
F1OI SAE 
F1OH sae 
F1OF SAF 
F1OE saf 
F2OM SBD 
F2ON sbd 
F2OI SBE 
F2OH sbe 
F2OF SBF 
F2OE sbf 
F3OM SCD 
F3ON scd 
F3OI SCE 
F3OH sce 
F3OF SCF 
F3OE scf 
F4OM SDD 
F4ON sdd 
F4OI SDE 
F4OH sde 
F4OF SDF 
F4OE sdf 
F5LG TGA 
F5LF tga 
F5LH TGB 
F5LI tgb 
F5LN TGC 
F5LM tgc 
F5LA TGD 
F5LB tgd 
F6LG tge 
F6LF TGE 
F6LH tgf 
F6LI TGF 
F6LN tgg 
F6LM TGG 
F6LA tgh 
F6LB TGH 
F7LG QCA 
F7LF qca 
F7LH QCB 
F7LI qcb 
F7LN QCC 
F7LM qcc 
F7LA QCD 
F7LB qcd 
F8LG QDA 
F8LF qda 
F8LH QDB 
F8LI qdb 
FALG QDC 
FALF qdc 
FALH QDD 
FALI qdd 
FBLG BAD 
FBLF bad 
FBLH BAE 
FBLI bae 
FBLN BAF 
FBLM baf 
FCLG DAD 
FCLF dad 
FCLH DAE 
FCLI dae 
FCLN DAF 
FCLM daf 
FDOM AAD 
FDON aad 
FDOI AAE 
FDOH aae 
FDOF AAF 
FDOE aaf 
FELG BCD 
FELF bcd 
FELH BCE 
FELI bce 
FELN BCF 
FELM bcf 
FFLG DBD 
FFLF dbd 
FFLH DBE 
FFLI dbe 
FFLN DBF 
FFLM dbf 
FGOM ACD 
FGON acd 
FGOI ACE 
FGOH ace 
FGOF ACF 
FGOE acf 
FHLG BED 
FHLF bed 
FHLH BEE 
FHLI bee 
FHLN BEF 
FHLM bef 
FILG QFA 
FILF qfa 
FILH QFB 
FILI qfb 
FILN QFC 
FILM qfc 
FJHG VAH 
FJHF vah 
FKLG DCD 
FKLF dcd 
FKLH DCE 
FKLI dce 
FKLN DCF 
FKLM dcf 
FLOM AED 
FLON aed 
FLOI AEE 
FLOH aee 
FLOF AEF 
FLOE aef 
FNLG BGD 
FNLF bgd 
FNLH BGE 
FNLI bge 
FNLN BGF 
FNLM bgf 
FOLG DDD 
FOLF ddd 
FOLH DDE 
FOLI dde 
FOLN DDF 
FOLM ddf 
FPOM AGD 
FPON agd 
FPOI AGE 
FPOH age 
FPOF AGF 
FPOE agf 
FQXE OAB 
FQXD oab 
FRXE OAJ 
FRXD oaj 
FSXE OBB 
FSXD obb 
FTXE OBJ 
FTXD obj 
FUXE OCB 
FUXD ocb 
FWXE OCJ 
FWXD ocj 
FXXE ODB 
FXXD odb 
GCLG TAA 
GCLF taa 
GCLH TAB 
GCLI tab 
GCLN TAC 
GCLM tac 
GCLA TAD 
GCLB tad 
GDOM NAG 
GDON nag 
GDOI NAH 
GDOH nah 
GDOF NAI 
GDOE nai 
GELG tae 
GELF TAE 
GELH taf 
GELI TAF 
GELN tag 
GELM TAG 
GELA tah 
GELB TAH 
GHOM NBG 
GHON nbg 
GHOI NBH 
GHOH nbh 
GHOF NBI 
GHOE nbi 
GLOM NCG 
GLON ncg 
GLOI NCH 
GLOH nch 
GLOF NCI 
GLOE nci 
GPOM NDG 
GPON ndg 
GPOI NDH 
GPOH ndh 
GPOF NDI 
GPOE ndi 
GTLG RMA 
GTLF rma 
GTLH RMB 
GTLI rmb 
GTLN RMC 
GTLM rmc 
GTLA RMD 
GTLB rmd 
GULG RME 
GULF rme 
GULH RMF 
GULI rmf 
GULN RMG 
GULM rmg 
GULA RMH 
GULB rmh 
GVLG RNA 
GVLF rna 
GVLH RNB 
GVLI rnb 
GVLN RNC 
GVLM rnc 
GVLA RND 
GVLB rnd 
GWLG RNE 
GWLF rne 
GWLH RNF 
GWLI rnf 
GWLN RNG 
GWLM rng 
GWLA RNH 
GWLB rnh 
H1LG TJA 
H1LF tja 
H1LH TJB 
H1LI tjb 
H1LN TJC 
H1LM tjc 
H1LA TJD 
H1LB tjd 
H2LG TIA 
H2LF tia 
H2LH TIB 
H2LI tib 
H2LN TIC 
H2LM tic 
H2LA TID 
H2LB tid 
H3LG TKA 
H3LF tka 
H3LH TKB 
H3LI tkb 
H3LN TKC 
H3LM tkc 
H3LA TKD 
H3LB tkd 
H4JG JNA 
H4JF jna 
H4JH JNB 
H4JI jnb 
H5JG JQA 
H5JF jqa 
H5JH JQB 
H5JI jqb 
H6LG tke 
H6LF TKE 
H6LH tkf 
H6LI TKF 
H6LN tkg 
H6LM TKG 
H6LA tkh 
H6LB TKH 
HAAD CAC 
HAAE cac 
HBAD CBC 
HBAE cbc 
HCAD CCC 
HCAE ccc 
HDAD CDC 
HDAE cdc 
HEAD CEC 
HEAE cec 
HFAD CFC 
HFAE cfc 
HGAD CGC 
HGAE cgc 
HHAD CHC 
HHAE chc 
HIXE MAC 
HIXD mac 
HJXE MBC 
HJXD mbc 
HKXE MCC 
HKXD mcc 
HLXE MDC 
HLXD mdc 
HMXE MEC 
HMXD mec 
HNXE MFC 
HNXD mfc 
HOXE MGC 
HOXD mgc 
HPXE MHC 
HPXD mhc 
HQHG JRD 
HQHF jrd 
HRHG JRE 
HRHF jre 
HSOM EAG 
HSON eag 
HSOI EAH 
HSOH eah 
HTOM EBG 
HTON ebg 
HTOI EBH 
HTOH ebh 
HUOM ECG 
HUON ecg 
HUOI ECH 
HUOH ech 
HVOM EDG 
HVON edg 
HVOI EDH 
HVOH edh 
HWHG JRF 
HWHF jrf 
HXHG JRG 
HXHF jrg 
I1OM SAG 
I1ON sag 
I1OI SAH 
I1OH sah 
I2OM SBG 
I2ON sbg 
I2OI SBH 
I2OH sbh 
I3OM SCG 
I3ON scg 
I3OI SCH 
I3OH sch 
I4OM SDG 
I4ON sdg 
I4OI SDH 
I4OH sdh 
I5LG QSA 
I5LF qsa 
I5LH QSB 
I5LI qsb 
I5LN QSC 
I5LM qsc 
I5LA QSD 
I5LB qsd 
I6LG QSE 
I6LF qse 
I6LH QTA 
I6LI qta 
I6LN QTB 
I6LM qtb 
I6LA QTC 
I6LB qtc 
I7LG QTD 
I7LF qtd 
I7LH QTE 
I7LI qte 
I7LN QUA 
I7LM qua 
I7LA QUB 
I7LB qub 
I8ME QSF 
I8MD qsf 
IBLG BAG 
IBLF bag 
IBLH BAH 
IBLI bah 
ICLG DAG 
ICLF dag 
ICLH DAH 
ICLI dah 
ICLN QSG 
ICLM qsg 
IDOM AAG 
IDON aag 
IDOI AAH 
IDOH aah 
IEHG JRH 
IEHF jrh 
IFLG BCG 
IFLF bcg 
IFLH BCH 
IFLI bch 
IGLG DBG 
IGLF dbg 
IGLH DBH 
IGLI dbh 
IHOM ACG 
IHON acg 
IHOI ACH 
IHOH ach 
IILG BEG 
IILF beg 
IILH BEH 
IILI beh 
IJME UAD 
IJMD uad 
IKLG DCG 
IKLF dcg 
IKLH DCH 
IKLI dch 
ILOM AEG 
ILON aeg 
ILOI AEH 
ILOH aeh 
IMME UAE 
IMMD uae 
INLG BGG 
INLF bgg 
INLH BGH 
INLI bgh 
IOLG DDG 
IOLF ddg 
IOLH DDH 
IOLI ddh 
IPOM AGG 
IPON agg 
IPOI AGH 
IPOH agh 
IQXE OAC 
IQXD oac 
IRXE OAK 
IRXD oak 
ISXE OBC 
ISXD obc 
ITXE OBK 
ITXD obk 
IUXE OCC 
IUXD occ 
IVME UAF 
IVMD uaf 
IWXE OCK 
IWXD ock 
IXXE ODC 
IXXD odc 
JAHG JRI 
JAHF jri 
JBHG JRJ 
JBHF jrj 
JCHG JRK 
JCHF jrk 
JDOM NAJ 
JDON naj 
JDOI NAK 
JDOH nak 
JDOF NAL 
JDOE nal 
JEHG JRL 
JEHF jrl 
JFME QTF 
JFMD qtf 
JGLG QTG 
JGLF qtg 
JHOM NBJ 
JHON nbj 
JHOI NBK 
JHOH nbk 
JHOF NBL 
JHOE nbl 
JIII VAA 
JIIH vaa 
JJKH VAB 
JJKI vab 
JKAD VAC 
JKAE vac 
JLOM NCJ 
JLON ncj 
JLOI NCK 
JLOH nck 
JLOF NCL 
JLOE ncl 
JMCF VAD 
JMCG vad 
JNDF VAE 
JNDG vae 
JPOM NDJ 
JPON ndj 
JPOI NDK 
JPOH ndk 
JPOF NDL 
JPOE ndl 
JTLG ROA 
JTLF roa 
JTLH ROB 
JTLI rob 
JTLN ROC 
JTLM roc 
JTLA ROD 
JTLB rod 
JULG ROE 
JULF roe 
JULH ROF 
JULI rof 
JULN ROG 
JULM rog 
JULA ROH 
JULB roh 
JVLG RPA 
JVLF rpa 
JVLH RPB 
JVLI rpb 
JVLN RPC 
JVLM rpc 
JVLA RPD 
JVLB rpd 
JWLG RPE 
JWLF rpe 
JWLH RPF 
JWLI rpf 
JWLN RPG 
JWLM rpg 
JWLA RPH 
JWLB rph 
KAAD CAD 
KAAE cad 
KBAD CBD 
KBAE cbd 
KCAD CCD 
KCAE ccd 
KDAD CDD 
KDAE cdd 
KEAD CED 
KEAE ced 
KFAD CFD 
KFAE cfd 
KGAD CGD 
KGAE cgd 
KHAD CHD 
KHAE chd 
KIXE MAD 
KIXD mad 
KJXE MBD 
KJXD mbd 
KKXE MCD 
KKXD mcd 
KLXE MDD 
KLXD mdd 
KMXE MED 
KMXD med 
KNXE MFD 
KNXD mfd 
KOXE MGD 
KOXD mgd 
KPXE MHD 
KPXD mhd 
KQLG QHE 
KQLF qhe 
KQLH QHF 
KQLI qhf 
KQLN QGE 
KQLM qge 
KQLA QGF 
KQLB qgf 
KRXE QLD 
KRXD qld 
KSOM EEA 
KSON eea 
KSOI EEB 
KSOH eeb 
KSOF EEC 
KSOE eec 
KTOM EFA 
KTON efa 
KTOI EFB 
KTOH efb 
KTOF EFC 
KTOE efc 
KUOM EGA 
KUON ega 
KUOI EGB 
KUOH egb 
KUOF EGC 
KUOE egc 
KVOM EHA 
KVON eha 
KVOI EHB 
KVOH ehb 
KVOF EHC 
KVOE ehc 
KWXE QHD 
KWXD qhd 
KXME QHC 
KXMD qhc 
L1OM SEA 
L1ON sea 
L1OI SEB 
L1OH seb 
L1OF SEC 
L1OE sec 
L2OM SFA 
L2ON sfa 
L2OI SFB 
L2OH sfb 
L2OF SFC 
L2OE sfc 
L3OM SGA 
L3ON sga 
L3OI SGB 
L3OH sgb 
L3OF SGC 
L3OE sgc 
L4OM SHA 
L4ON sha 
L4OI SHB 
L4OH shb 
L4OF SHC 
L4OE shc 
LAXE QGD 
LAXD qgd 
LBLG BBA 
LBLF bba 
LBLH BBB 
LBLI bbb 
LBLN BBC 
LBLM bbc 
LCLG DAI 
LCLF dai 
LCLH DAJ 
LCLI daj 
LCLN DAK 
LCLM dak 
LDOM ABA 
LDON aba 
LDOI ABB 
LDOH abb 
LDOF ABC 
LDOE abc 
LEME QGC 
LEMD qgc 
LFLG BDA 
LFLF bda 
LFLH BDB 
LFLI bdb 
LFLN BDC 
LFLM bdc 
LGLG DBI 
LGLF dbi 
LGLH DBJ 
LGLI dbj 
LGLN DBK 
LGLM dbk 
LHOM ADA 
LHON ada 
LHOI ADB 
LHOH adb 
LHOF ADC 
LHOE adc 
LJLG BFA 
LJLF bfa 
LJLH BFB 
LJLI bfb 
LJLN BFC 
LJLM bfc 
LKLG DCI 
LKLF dci 
LKLH DCJ 
LKLI dcj 
LKLN DCK 
LKLM dck 
LLOM AFA 
LLON afa 
LLOI AFB 
LLOH afb 
LLOF AFC 
LLOE afc 
LNLG BHA 
LNLF bha 
LNLH BHB 
LNLI bhb 
LNLN BHC 
LNLM bhc 
LOLG DDI 
LOLF ddi 
LOLH DDJ 
LOLI ddj 
LOLN DDK 
LOLM ddk 
LPOM AHA 
LPON aha 
LPOI AHB 
LPOH ahb 
LPOF AHC 
LPOE ahc 
LQXE OAD 
LQXD oad 
LRXE OAL 
LRXD oal 
LSXE OBD 
LSXD obd 
LTXE OBL 
LTXD obl 
LUXE OCD 
LUXD ocd 
LVXE OCL 
LVXD ocl 
LWXE ODD 
LWXD odd 
LXXE ODL 
LXXD odl 
MDOM NAM 
MDON nam 
MDOI NAN 
MDOH nan 
MDOF NAO 
MDOE nao 
MHOM NBM 
MHON nbm 
MHOI NBN 
MHOH nbn 
MHOF NBO 
MHOE nbo 
MLOM NCM 
MLON ncm 
MLOI NCN 
MLOH ncn 
MLOF NCO 
MLOE nco 
MPOM NDM 
MPON ndm 
MPOI NDN 
MPOH ndn 
MPOF NDO 
MPOE ndo 
MSLG QMA 
MSLF qma 
MSLH QMB 
MSLI qmb 
MSLN QMC 
MSLM qmc 
MSLA QMD 
MSLB qmd 
MTLG QNA 
MTLF qna 
MTLH QNB 
MTLI qnb 
MTLN QNC 
MTLM qnc 
MTLA QND 
MTLB qnd 
MUII JEA 
MUIH jea 
MUIE JEB 
MUID jeb 
MVII JEC 
MVIH jec 
MVIE JED 
MVID jed 
MWOM NIH 
MWON nih 
MXLG QNF 
MXLF qnf 
NAAD CAE 
NAAE cae 
NBAD CBE 
NBAE cbe 
NCAD CCE 
NCAE cce 
NDAD CDE 
NDAE cde 
NEAD CEE 
NEAE cee 
NFAD CFE 
NFAE cfe 
NGAD CGE 
NGAE cge 
NHAD CHE 
NHAE che 
NIXE MAE 
NIXD mae 
NJXE MBE 
NJXD mbe 
NKXE MCE 
NKXD mce 
NLXE MDE 
NLXD mde 
NMXE MEE 
NMXD mee 
NNXE MFE 
NNXD mfe 
NOXE MGE 
NOXD mge 
NPXE MHE 
NPXD mhe 
NSOM EED 
NSON eed 
NSOI EEE 
NSOH eee 
NSOF EEF 
NSOE eef 
NTOM EFD 
NTON efd 
NTOI EFE 
NTOH efe 
NTOF EFF 
NTOE eff 
NUOM EGD 
NUON egd 
NUOI EGE 
NUOH ege 
NUOF EGF 
NUOE egf 
NVOM EHD 
NVON ehd 
NVOI EHE 
NVOH ehe 
NVOF EHF 
NVOE ehf 
O1OM SEG 
O1ON seg 
O2OM SFG 
O2ON sfg 
O2OI SFH 
O2OH sfh 
O3OM SGG 
O3ON sgg 
O3OI SGH 
O3OH sgh 
O4OM SHG 
O4ON shg 
O4OI SHH 
O4OH shh 
O5OM SEH 
O5ON seh 
OBLG BBD 
OBLF bbd 
OBLH BBE 
OBLI bbe 
OBLN BBF 
OBLM bbf 
OCLG DAL 
OCLF dal 
OCLH DAM 
OCLI dam 
OCLN DAN 
OCLM dan 
ODOM ABD 
ODON abd 
ODOI ABE 
ODOH abe 
ODOF ABF 
ODOE abf 
OFLG BDD 
OFLF bdd 
OFLH BDE 
OFLI bde 
OFLN BDF 
OFLM bdf 
OGLG DBL 
OGLF dbl 
OGLH DBM 
OGLI dbm 
OGLN DBN 
OGLM dbn 
OHOM ADD 
OHON add 
OHOI ADE 
OHOH ade 
OHOF ADF 
OHOE adf 
OIXE ODO 
OIXD odo 
OJLG BFD 
OJLF bfd 
OJLH BFE 
OJLI bfe 
OJLN BFF 
OJLM bff 
OKLG DCL 
OKLF dcl 
OKLH DCM 
OKLI dcm 
OKLN DCN 
OKLM dcn 
OLOM AFD 
OLON afd 
OLOI AFE 
OLOH afe 
OLOF AFF 
OLOE aff 
OMXE ODP 
OMXD odp 
ONLG BHD 
ONLF bhd 
ONLH BHE 
ONLI bhe 
ONLN BHF 
ONLM bhf 
OOLG DDL 
OOLF ddl 
OOLH DDM 
OOLI ddm 
OOLN DDN 
OOLM ddn 
OPOM AHD 
OPON ahd 
OPOI AHE 
OPOH ahe 
OPOF AHF 
OPOE ahf 
OQXE OAE 
OQXD oae 
ORXE OAM 
ORXD oam 
OSXE OBE 
OSXD obe 
OTXE OBM 
OTXD obm 
OUXE OCE 
OUXD oce 
OVXE OCM 
OVXD ocm 
OWXE ODE 
OWXD ode 
OXXE ODM 
OXXD odm 
PDOM NAP 
PDON nap 
PHOM NBP 
PHON nbp 
PLOM NCP 
PLON ncp 
PPOM NDP 
PPON ndp 
QAAD CAF 
QAAE caf 
QBAD CBF 
QBAE cbf 
QCAD CCF 
QCAE ccf 
QDAD CDF 
QDAE cdf 
QEAD CEF 
QEAE cef 
QFAD CFF 
QFAE cff 
QGAD CGF 
QGAE cgf 
QHAD CHF 
QHAE chf 
QIXE MAF 
QIXD maf 
QJXE MBF 
QJXD mbf 
QKXE MCF 
QKXD mcf 
QLXE MDF 
QLXD mdf 
QMXE MEF 
QMXD mef 
QNXE MFF 
QNXD mff 
QOXE MGF 
QOXD mgf 
QPXE MHF 
QPXD mhf 
QROM EEG 
QRON eeg 
QROI EEH 
QROH eeh 
QSOM EFG 
QSON efg 
QSOI EFH 
QSOH efh 
QTOM EGG 
QTON egg 
QTOI EGH 
QTOH egh 
QUOM EHG 
QUON ehg 
QUOI EHH 
QUOH ehh 
R1OM SAO 
R1ON sao 
R1OI SAP 
R1OH sap 
R2OM SBO 
R2ON sbo 
R2OI SBP 
R2OH sbp 
R3OM SCO 
R3ON sco 
R3OI SCP 
R3OH scp 
R4OM SDO 
R4ON sdo 
R4OI SDP 
R4OH sdp 
RBLG BBG 
RBLF bbg 
RBLH BBH 
RBLI bbh 
RCLG DAO 
RCLF dao 
RCLH DAP 
RCLI dap 
RDOM ABG 
RDON abg 
RDOI ABH 
RDOH abh 
RFLG BDG 
RFLF bdg 
RFLH BDH 
RFLI bdh 
RGLG DBO 
RGLF dbo 
RGLH DBP 
RGLI dbp 
RHOM ADG 
RHON adg 
RHOI ADH 
RHOH adh 
RJLG BFG 
RJLF bfg 
RJLH BFH 
RJLI bfh 
RKLG DCO 
RKLF dco 
RKLH DCP 
RKLI dcp 
RLOM AFG 
RLON afg 
RLOI AFH 
RLOH afh 
RMLG BIP 
RMLF bip 
RMLH BJP 
RMLI bjp 
RMLN BKP 
RMLM bkp 
RMLA BLP 
RMLB blp 
RNLG BHG 
RNLF bhg 
RNLH BHH 
RNLI bhh 
ROLG DDO 
ROLF ddo 
ROLH DDP 
ROLI ddp 
RPOM AHG 
RPON ahg 
RPOI AHH 
RPOH ahh 
RQXE OAF 
RQXD oaf 
RRXE OAN 
RRXD oan 
RSXE OBF 
RSXD obf 
RTXE OBN 
RTXD obn 
RUXE OCF 
RUXD ocf 
RVXE OCN 
RVXD ocn 
RWXE ODF 
RWXD odf 
RXXE ODN 
RXXD odn 
TAAD CAG 
TAAE cag 
TBAD CBG 
TBAE cbg 
TCAD CCG 
TCAE ccg 
TDAD CDG 
TDAE cdg 
TEAD CEG 
TEAE ceg 
TFAD CFG 
TFAE cfg 
TGAD CGG 
TGAE cgg 
THAD CHG 
THAE chg 
TIXE MAG 
TIXD mag 
TJXE MBG 
TJXD mbg 
TKXE MCG 
TKXD mcg 
TLXE MDG 
TLXD mdg 
TMXE MEG 
TMXD meg 
TNXE MFG 
TNXD mfg 
TOXE MGG 
TOXD mgg 
TPXE MHG 
TPXD mhg 
U1OM SED 
U1ON sed 
U1OI SEE 
U1OH see 
U1OF SEF 
U1OE sef 
U2OM SFD 
U2ON sfd 
U2OI SFE 
U2OH sfe 
U2OF SFF 
U2OE sff 
U3OM SGD 
U3ON sgd 
U3OI SGE 
U3OH sge 
U3OF SGF 
U3OE sgf 
U4OM SHD 
U4ON shd 
U4OI SHE 
U4OH she 
U4OF SHF 
U4OE shf 
UMXE ODI 
UMXD odi 
